    Time       Tim        CO2       Fit      Trn
   1959.2446   1959.2450   318.27   318.21   316.02
   1959.2473   1959.2478   318.29   318.25   316.03
   1959.3112   1959.3107   318.61   319.06   316.09
   1959.3138   1959.3135   319.33   319.09   316.09
   1959.5054   1959.5051   320.35   316.76   316.32
   1959.5430   1959.5435   315.95   316.07   316.37
   1959.5834   1959.5845   319.37   315.80   316.43
   1959.6290   1959.6283   315.56   315.32   316.49
   1959.7634   1959.7625   312.62   312.80   316.70
   1959.8417   1959.8419   350.39   314.27   316.83
   1959.9000   1959.8994   392.23   316.12   316.93
   1959.9166   1959.9158   316.29   316.68   316.96
   1959.9677   1959.9678   318.19   317.56   317.05
   1960.0081   1960.0089   316.74   317.36   317.12
   1960.0430   1960.0418   317.85   317.42   317.18
   1960.0863   1960.0856   317.62   318.02   317.25
   1960.1294   1960.1294   318.54   318.07   317.33
   1960.1666   1960.1677   317.69   317.73   317.39
   1960.2042   1960.2033   317.58   318.15   317.45
   1960.2583   1960.2580   320.72   320.30   317.54
   1960.2889   1960.2882   320.90   321.03   317.59
   1960.3710   1960.3703   332.09   319.50   317.71
   1960.4166   1960.4168   318.75   319.07   317.77
   1960.4556   1960.4552   319.36   319.44   317.82
   1960.5000   1960.4990   319.50   319.45   317.88
   1960.5376   1960.5373   319.18   318.55   317.93
   1960.5834   1960.5838   316.41   317.26   317.98
   1960.6210   1960.6222   317.38   316.76   318.02
   1960.6666   1960.6660   316.39   316.38   318.06
   1960.7083   1960.7070   315.35   315.64   318.09
   1960.7527   1960.7536   315.31   314.82   318.13
   1960.7876   1960.7864   314.24   314.69   318.15
   1960.8390   1960.8385   315.83   315.46   318.18
   1960.8723   1960.8713   315.96   316.34   318.20
   1960.9274   1960.9261   317.80   317.47   318.22
   1960.9542   1960.9535   321.16   317.63   318.23
   1961.0000   1961.0000   317.53   317.80   318.25
   1961.0376   1961.0383   316.30   318.23   318.26
   1961.0834   1961.0821   319.03   318.67   318.27
   1961.1250   1961.1259   318.35   318.87   318.28
   1961.1666   1961.1670   319.54   319.41   318.29
   1961.2042   1961.2053   320.09   320.19   318.29
   1961.2500   1961.2491   320.81   320.64   318.30
   1961.3334   1961.3340   321.24   321.14   318.32
   1961.4166   1961.4162   320.87   321.00   318.34
   1961.4556   1961.4545   319.75   319.64   318.36
   1961.5000   1961.5010   319.00   318.64   318.38
   1961.5403   1961.5394   317.79   318.75   318.40
   1961.5834   1961.5832   319.80   318.62   318.42
   1961.6210   1961.6215   317.12   317.55   318.45
   1961.7056   1961.7064   315.36   314.97   318.51
   1961.7554   1961.7556   314.40   314.72   318.56
   1961.8362   1961.8350   316.09   315.98   318.65
   1961.8750   1961.8761   317.25   317.18   318.71
   1961.9193   1961.9199   317.63   318.06   318.77
   1962.0027   1962.0021   322.60   318.58   318.90
   1962.0376   1962.0376   318.58   319.40   318.97
   1962.0834   1962.0842   321.64   320.50   319.05
   1962.1250   1962.1253   319.80   320.43   319.13
   1962.1666   1962.1663   319.82   319.82   319.22
   1962.2096   1962.2101   320.31   320.11   319.31
   1962.2556   1962.2567   320.93   321.62   319.41
   1962.3027   1962.3032   323.28   322.96   319.52
   1962.3334   1962.3333   323.23   323.29   319.59
   1962.4194   1962.4182   322.43   322.28   319.78
   1962.4556   1962.4565   321.62   321.80   319.87
   1962.5107   1962.5113   322.02   321.79   320.00
   1962.5403   1962.5414   321.15   321.44   320.07
   1962.5861   1962.5852   320.65   319.78   320.17
   1962.6210   1962.6208   317.45   318.05   320.25
   1962.6749   1962.6756   317.11   316.70   320.37
   1962.7111   1962.7112   316.38   316.59   320.45
   1962.7500   1962.7495   316.65   316.54   320.52
   1962.7930   1962.7933   316.54   316.68   320.61
   1962.9596   1962.9603   320.27   320.17   320.88
   1963.0376   1963.0370   320.57   320.68   320.97
   1963.4972   1963.4969   323.72   323.40   321.09
   1963.5322   1963.5325   322.17   321.87   321.07
   1963.5807   1963.5818   319.93   320.00   321.04
   1963.6290   1963.6283   319.28   319.30   321.01
   1963.6641   1963.6639   319.08   318.77   320.98
   1963.7028   1963.7023   317.75   317.82   320.95
   1963.7527   1963.7515   317.20   317.24   320.90
   1963.7849   1963.7844   321.77   317.75   320.87
   1963.8307   1963.8309   318.72   318.68   320.83
   1963.8695   1963.8693   319.12   318.88   320.80
   1963.9139   1963.9131   318.39   318.89   320.76
   1963.9596   1963.9596   319.61   319.20   320.71
   1963.9973   1963.9979   319.49   319.65   320.68
   1964.0753   1964.0746   321.65   321.18   320.62
   1964.1265   1964.1266   324.64   321.35   320.59
   1964.1747   1964.1759   320.91   320.92   320.56
