    Time       Tim        CO2       Fit      Trn
   1957.2230   1957.2218   314.26   314.28   314.78
   1957.4694   1957.4682   314.55   314.88   315.06
   1957.4722   1957.4709   315.17   314.91   315.06
   1957.7389   1957.7392   315.34   315.80   315.35
   1957.7416   1957.7420   315.38   315.83   315.35
   1957.7444   1957.7447   316.31   315.87   315.35
   1958.0134   1958.0130   315.62   315.41   315.58
   1958.0188   1958.0185   314.99   315.35   315.58
   1958.0295   1958.0294   315.19   315.25   315.59
   1958.0726   1958.0732   315.07   315.05   315.62
   1958.1250   1958.1253   315.13   315.15   315.66
   1958.2042   1958.2047   315.16   315.08   315.71
   1958.2446   1958.2457   315.02   315.09   315.73
   1958.2916   1958.2923   316.47   315.26   315.76
   1958.3306   1958.3306   316.87   315.44   315.78
   1958.3710   1958.3717   316.23   315.64   315.80
   1958.4556   1958.4565   317.14   316.06   315.85
   1958.4972   1958.4976   317.56   316.34   315.87
   1958.5376   1958.5387   316.60   316.67   315.89
   1958.5780   1958.5770   316.83   316.81   315.91
   1958.6210   1958.6208   316.78   316.62   315.94
   1958.6614   1958.6619   316.10   316.30   315.96
   1958.7139   1958.7139   316.30   316.18   315.99
   1958.7472   1958.7467   316.22   316.27   316.02
   1958.8556   1958.8563   316.45   316.33   316.09
   1958.8584   1958.8590   316.33   316.32   316.09
   1958.8612   1958.8617   316.54   316.31   316.10
   1958.8639   1958.8645   316.38   316.30   316.10
   1958.8667   1958.8672   316.59   316.29   316.10
   1958.8695   1958.8700   316.12   316.28   316.10
   1958.8723   1958.8727   316.28   316.27   316.10
   1958.8778   1958.8782   316.16   316.25   316.11
   1958.8806   1958.8809   316.16   316.24   316.11
   1958.9000   1958.9001   316.14   316.18   316.13
   1959.2042   1959.2040   347.70   315.75   316.40
   1959.2446   1959.2450   351.79   315.80   316.45
   1959.2583   1959.2587   317.94   315.83   316.46
   1959.3306   1959.3299   318.89   316.06   316.54
   1959.3817   1959.3819   318.90   316.21   316.60
   1959.4166   1959.4175   327.80   316.27   316.64
   1959.4249   1959.4257   316.31   316.29   316.65
   1959.4556   1959.4559   324.63   316.40   316.68
   1959.5027   1959.5024   316.56   316.62   316.74
   1959.5376   1959.5380   330.22   316.67   316.78
   1959.5834   1959.5845   327.80   316.67   316.83
   1959.5995   1959.5982   316.82   316.74   316.84
   1959.6263   1959.6256   318.26   317.03   316.87
   1959.6317   1959.6311   316.63   317.11   316.88
   1959.6614   1959.6612   317.90   317.58   316.91
   1959.7056   1959.7050   326.41   318.02   316.96
   1959.7472   1959.7461   318.55   317.98   317.00
   1959.7876   1959.7871   336.55   317.85   317.04
   1959.8280   1959.8282   332.19   317.83   317.08
   1959.8723   1959.8720   327.59   317.74   317.12
   1960.0863   1960.0856   317.03   317.04   317.28
   1960.1610   1960.1622   317.09   317.08   317.32
   1960.2069   1960.2060   327.27   317.03   317.34
   1960.2528   1960.2526   318.91   317.05   317.36
   1960.2583   1960.2580   318.28   317.06   317.36
   1960.3790   1960.3785   317.69   316.97   317.40
   1960.3979   1960.3977   316.84   316.91   317.40
   1960.4141   1960.4141   317.18   316.89   317.40
   1960.4360   1960.4360   316.72   316.91   317.41
   1960.4778   1960.4771   317.01   317.00   317.41
   1960.5081   1960.5072   317.26   317.03   317.41
   1960.5188   1960.5181   316.86   317.02   317.41
   1960.5591   1960.5592   317.03   317.03   317.42
   1960.5914   1960.5921   334.40   317.17   317.42
   1960.5995   1960.6003   317.24   317.23   317.42
   1960.6533   1960.6523   317.49   317.70   317.42
   1960.6666   1960.6660   318.46   317.80   317.42
   1960.6777   1960.6769   317.83   317.87   317.42
   1960.7056   1960.7043   317.87   317.96   317.42
   1960.7607   1960.7618   317.90   317.87   317.42
   1960.7957   1960.7947   317.95   317.76   317.41
   1960.8199   1960.8193   317.51   317.73   317.41
   1960.8528   1960.8522   317.76   317.77   317.41
   1960.8917   1960.8905   319.23   317.85   317.41
   1960.9354   1960.9343   317.75   317.80   317.42
   1960.9677   1960.9671   320.87   317.65   317.42
   1960.9757   1960.9754   317.58   317.61   317.42
   1961.0242   1961.0246   317.49   317.45   317.42
   1961.0457   1961.0465   318.79   317.42   317.42
   1961.1042   1961.1040   317.31   317.32   317.43
   1961.1459   1961.1451   317.22   317.19   317.44
   1961.1774   1961.1780   318.99   317.09   317.45
   1961.1854   1961.1862   317.09   317.07   317.45
   1961.2257   1961.2245   317.03   317.04   317.47
   1961.2611   1961.2601   319.12   317.05   317.48
   1961.2694   1961.2683   317.03   317.06   317.48
   1961.3112   1961.3121   317.20   317.13   317.50
   1961.3495   1961.3504   318.14   317.19   317.52
   1961.3522   1961.3532   317.10   317.20   317.52
   1961.3898   1961.3888   317.26   317.24   317.54
   1961.4360   1961.4353   317.33   317.27   317.56
   1961.4445   1961.4435   320.02   317.28   317.57
   1961.4916   1961.4928   317.22   317.26   317.60
   1961.5215   1961.5202   317.16   317.24   317.62
