CO2 gas age years AD	CO2 (ppm)
1980.0	336.6
1979.0	332.0
1979.0	335.2
1979.0	335.3
1978.0	333.5
1977.0	331.7
1976.0	331.2
1974.0	328.1
1973.0	326.4
1973.0	329.2
1972.0	324.1
1971.2	325.2
1970.7	324.7
1970.0	323.2
1970.0	324.8
1969.0	323.7
1967.0	322.9
1966.0	318.8
1966.0	319.5
1964.0	318.2
1964.0	319.0
1963.0	317.0
1963.0	317.0
1963.0	318.7
1963.0	319.4
1960.7	315.7
1959.0	316.3
1958.0	314.4
1957.0	314.0
1956.1	316.3
1955.2	313.6
1955.2	314.1
1955.2	314.7
1955.0	313.5
1955.0	313.8
1954.0	311.0
1954.0	311.9
1954.0	312.7
1954.0	311.7
1953.0	312.1
1950.0	312.6
1949.3	311.4
1949.0	309.9
1949.0	311.2
1948.0	310.5
1947.0	310.8
1947.0	310.0
1947.0	311.5
1946.0	311.5
1945.0	309.6
1945.0	309.7
1944.0	311.4
1944.0	312.1
1944.0	311.3
1943.0	310.5
1943.0	311.0
1942.1	312.3
1942.0	310.9
1942.0	311.6
1941.5	310.3
1941.0	310.5
1941.0	310.7
1940.0	311.9
1940.0	311.0
1939.1	309.2
1939.0	310.5
1939.0	310.9
1938.0	309.6
1937.2	307.9
1936.5	309.0
1935.0	309.2
1934.5	307.8
1933.0	307.8
1933.0	307.2
1929.0	305.7
1928.8	307.8
1927.8	305.2
1927.2	305.0
1925.0	304.1
1925.0	304.8
1923.6	305.2
1923.0	303.2
1919.0	303.6
1918.6	303.3
1916.0	301.3
1914.0	300.0
1914.0	300.7
1913.0	300.7
1911.5	298.4
1909.0	300.4
1906.0	296.9
1906.0	298.5
1904.8	299.0
1904.0	295.1
1902	295.7
1902	295.0
1900.8	296.5
1899.0	294.7
1899.0	296.0
1899.0	296.2
1896.0	298.2
1894.0	293.8
1893.0	294.6
1892.1	294.7
1889.0	291.5
1889.0	292.2
1887.0	293.7
1886	290.6
1884.4	289.0
1884.0	289.8
1883.0	291.9
1878.0	288.8
1874.0	290.5
1873	287.2
1870.0	287.4
1869.1	287.7
1867	285.2
1864.0	285.4
1862.0	286.6
1859.0	286.5
1855.0	284.9
1854.0	287.0
1852.3	288.6
1851.0	285.2
1849.0	287.7
1847.5	286.1
1846	283.3
1846	285.0
1844.0	286.5
1841.0	283.0
1838.0	284.1
1834.5	283.7
1833.0	284.5
1826.9	285.1
1826.2	281.3
1814.2	284.3
1799.6	281.1
1799.3	283.7
1796.1	281.6
1794.4	281.5
1780.6	276.8
1779.6	279.5
1773.7	277.8
1763.5	276.3
1762.8	276.7
1752.2	277.2
1752.0	276.4
1749.2	276.9
1742.7	276.7
1734.1	278.2
1722.9	277.5
1722.8	276.9
1694.1	276.5
1689.6	276.3
1681.9	275.9
1649.2	277.2
1640.1	276.6
1628.9	274.5
1610.4	271.8
1603.4	274.3
1591.1	278.7
1588.3	281.0
1573.0	281.9
1560.4	281.7
1549.7	282.8
1529.7	283.2
1501.5	282.4
1469.5	279.6
1449.1	281.7
1431.0	282.5
1429.3	279.5
1411.3	279.6
1390.5	280.0
1390.5	280.4
1349.7	280.1
1330.1	283.4
1306.5	281.5
1275.8	281.1
1257.6	282.1
1246.3	281.7
1207.4	283.6
1192.6	283.9
1159.6	283.9
1136.8	283.8
1105.4	282.8
1087.5	282.4
1058.0	282.8
1036.8	280.3
1025.2	280.8
1005	280.5
1005.0	279.4
968.2	278.5
944.2	279.1
897.4	278.9
857.3	279.3
799.2	278.5
764.5	278.5
729.7	278.5
698.4	279.7
667.9	279.4
632.0	278.3
595.6	276.9
572.0	277.6
536.7	276.0
499.8	276.4
461.2	276.7
428.4	276.9
364.6	277.0
329.2	278.9
302.3	279.8
274.2	280.1
227.9	281.5
202.5	280.7
168.2	280.1
136.0	278.1
104.5	277.5
56.0	277.4
29.5	277.9
13.3	276.7
