EPICA Dome C Ice Core 800KYr N2O Data 
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core 800KYr N2O Data 
LAST UPDATE: 1/2010 (Original receipt by WDC Paleo)

CONTRIBUTORS:
Adrian Schilt, Renato Spahni, Matthias Baumgartner, Jacqueline Flückiger, 
Gregor Hausammann, Kenji Kawamura, Jakob Schwander, Hubertus Fischer, 
Thomas F. Stocker. Climate and Environmental Physics, Physics Institute, 
and Oeschger Centre for Climate Change Research, University of Bern, 
Switzerland.

DATA:
EPICA Dome C Ice Core 800KYr N2O Data 

Column 1: EDC96 depth (m)
Column 2: EDC99 depth (m)
Column 3: gas age (years before 1950 on EDC3: Loulergue et al., 2007)
Column 4: N2O concentration (parts per billion by volume, ppbv)
Column 5: N2O artifacts concentration (parts per billion by volume, ppbv)
Column 6: 1-sigma uncertainty N2O concentration (parts per billion by volume, ppbv)

REMARKS: For EDC96 depth levels the corresponding EDC99 depth is calculated 
using the comparison by Eric Wolff (EWWO@bas.ac.uk) between equivalent signals 
in the Dielectric Profile (DEP) records. 

1              2          3          4          5          6
EDC96        EDC99       EDC3       N2O     N2O_art.   N2O_err.
depth        depth       age       conc.      conc.      conc.
[m]           [m]      [yr BP]    [ppbv]     [ppbv]     [ppbv]
99.530      99.340         13      284.5       -999.0         3.6
102.765    102.575        129      266.5       -999.0         3.7
104.965    104.775        205      268.7       -999.0         3.5
106.815    106.625        260      263.0       -999.0         3.7
110.020    109.830        381      268.0       -999.0         4.1
113.215    113.025        479      258.3       -999.0         3.5
115.415    115.225        552      267.0       -999.0         5.0
118.665    118.475        667      263.0       -999.0         3.7
121.060    120.870        736      265.7       -999.0         3.5
121.340    121.150        742      266.7       -999.0         4.0
124.765    124.575        869      261.7       -999.0         3.5
126.965    126.775        946      262.3       -999.0         4.0
129.365    129.175       1038      261.0       -999.0         3.4
132.020    131.830       1130      268.7       -999.0         3.8
137.965    137.775       1337      260.7       -999.0         3.5
140.915    140.725       1431      263.0       -999.0         3.7
143.570    143.380       1527      266.0       -999.0         3.4
146.215    146.025       1628      264.3       -999.0         3.5
148.965    148.775       1727      268.7       -999.0         3.5
150.815    150.625       1792      268.0       -999.0         3.4
154.020    153.830       1906      267.3       -999.0         3.5
157.765    157.575       2045      263.7       -999.0         3.8
159.965    159.775       2119      268.3       -999.0         3.5
162.235    162.045       2207      268.3       -999.0         3.5
165.465    165.275       2325      267.7       -999.0         3.8
168.280    168.090       2426      268.0       -999.0         3.4
170.590    170.400       2516      271.0       -999.0         3.8
173.235    173.045       2603      267.0       -999.0         3.7
176.465    176.275       2719      263.3       -999.0         4.0
178.665    178.475       2799      268.0       -999.0         3.7
180.970    180.780       2877      268.3       -999.0         3.5
185.465    185.275       3028      268.0       -999.0         3.7
187.465    187.275       3106      264.0       -999.0         3.7
189.665    189.475       3208      261.7       -999.0         3.8
192.520    192.330       3307      262.3       -999.0         3.5
195.915    195.725       3433      261.0       -999.0         3.4
198.465    198.275       3517      261.3       -999.0         3.5
201.215    201.025       3612      260.3       -999.0         3.5
203.655    203.465       3697      261.0       -999.0         3.4
205.815    205.625       3772      256.3       -999.0         3.8
209.465    209.275       3905      263.7       -999.0         3.5
212.215    212.025       3994      261.7       -999.0         3.8
214.520    214.330       4078      262.0       -999.0         3.7
214.660    214.470       4081      264.7       -999.0         3.8
216.170    215.980       4141      271.0       -999.0         3.4
220.570    220.380       4305      269.7       -999.0         3.5
220.710    220.520       4309      268.7       -999.0         3.5
222.665    222.475       4365      263.3       -999.0         4.0
225.415    225.225       4473      268.7       -999.0         3.5
227.815    227.625       4552      259.0       -999.0         3.7
231.590    231.400       4682      267.8       -999.0         3.8
233.665    233.475       4756      260.3       -999.0         3.8
236.415    236.225       4866      255.3       -999.0         3.5
240.335    240.145       5000      260.3       -999.0         3.5
244.665    244.475       5155      260.7       -999.0         3.5
247.965    247.775       5270      265.3       -999.0         3.8
250.785    250.595       5365      260.7       -999.0         3.5
253.040    252.850       5456      266.0       -999.0         3.5
256.215    256.025       5555      255.7       -999.0         3.8
258.965    258.775       5652      263.7       -999.0         3.8
260.170    259.980       5690      263.7       -999.0         3.5
264.020    263.830       5834      258.7       -999.0         3.5
268.315    268.125       5989      256.3       -999.0         3.5
269.415    269.225       6033      260.7       -999.0         3.5
271.815    271.625       6114      254.3       -999.0         4.0
276.015    275.825       6256      253.3       -999.0         3.5
278.215    278.025       6345      259.0       -999.0         3.4
279.970    279.780       6404      259.7       -999.0         3.5
283.785    283.595       6541      259.0       -999.0         3.7
285.915    285.725       6611      265.3       -999.0         4.0
288.185    287.995       6705      255.7       -999.0         3.5
291.520    291.330       6817      259.3       -999.0         3.8
294.365    294.175       6923      257.3       -999.0         3.8
297.465    297.275       7019      262.7       -999.0         3.5
