N2O gas age years AD	N2O (ppb)
1996.5	312.3
1994.5	310.9
1992.4	309.6
1989.8	307.5
1983.7	303.6
1979.0	300.3
1979.0	304.5
1976.0	300.0
1974.0	297.1
1972.0	298.4
1970.7	296.4
1970	295.3
1969.0	292.9
1966.0	292.5
1966.0	292.5
1964.0	293.4
1963.0	294.4
1962.9	291.2
1960.7	291.1
1959.0	292.8
1958.0	292.2
1957.0	292.2
1955.0	290.3
1954.0	288.3
1953.0	286.3
1950.0	287.3
1949.3	288.0
1949.0	290.3
1949.0	286.9
1948.0	288.0
1945.0	286.8
1945.0	287.6
1942.1	288.7
1941.0	289.9
1940.0	287.9
1939.0	286.5
1938.0	285.1
1935.0	288.7
1933.0	285.3
1929.0	285.5
1927.2	283.1
1925.0	283.0
1925.0	283.5
1923.6	286.5
1918.6	285.5
1916.0	282.2
1913.0	282.4
1911.5	280.8
1904.8	279.7
1902	276.4
1900.8	277.0
1899.0	276.7
1894.0	278.8
1893.0	277.5
1887.0	278.3
1883.0	275.9
1878.0	275.8
1873	272.6
1870.0	272.9
1864.0	272.1
1862.0	272.3
1855.0	270.5
1846	270.5
1841.0	270.4
1836.3	268.1
1833.0	273.1
1814.2	271.3
1799.3	272.7
1796.1	272.3
1794.4	271.9
1763.5	273.8
1762.8	274.8
1749.2	270.9
1722.9	269.8
1681.9	270.1
1666.7	267.0
1610.4	266.2
1591.1	268.3
1573.0	269.6
1560.4	270.1
1549.7	270.1
1535.3	270.6
1529.7	272.7
1501.5	268.5
1458.9	266.5
1449.1	267.0
1411.3	266.2
1330.1	269.7
1257.6	267.6
1207.4	267.7
1105.4	268.3
968.2	266.8
897.4	272.1
857.3	269.4
799.2	270.7
667.9	261.2
632.0	262.3
595.6	261.1
572.0	264.7
536.7	260.2
499.8	261.7
428.4	263.5
364.6	263.8
329.2	261.4
302.3	262.3
227.9	268.3
168.3	265.1
136.0	266.1
56.0	264.2
29.5	263.1
13.3	264.2
